dataDate,ename,issueVal
2023-12-07,busan,15.3521
2023-12-08,busan,15.354766
2023-12-09,busan,15.357355
2023-12-10,busan,15.359645
2023-12-11,busan,15.36151
2023-12-12,busan,15.362947
2023-12-13,busan,15.363895
2023-12-14,busan,15.364363
2023-12-15,busan,15.364422
2023-12-16,busan,15.364147
2023-12-17,busan,15.363661
2023-12-18,busan,15.363064
2023-12-19,busan,15.362794
2023-12-20,busan,15.362645
2023-12-21,busan,15.362887
2023-12-22,busan,15.363776
2023-12-23,busan,15.365017
2023-12-24,busan,15.366349
2023-12-25,busan,15.367593
2023-12-26,busan,15.368509
2023-12-27,busan,15.368956
2023-12-28,busan,15.368935
2023-12-29,busan,15.368486
2023-12-30,busan,15.367704
2023-12-31,busan,15.366657
2024-01-01,busan,15.365426
2024-01-02,busan,15.364046
2024-01-03,busan,15.362581
2024-01-04,busan,15.360998
2024-01-05,busan,15.359388
2024-01-06,busan,15.35775
2024-01-07,busan,15.35605
2024-01-08,busan,15.354306
2024-01-09,busan,15.35256
2024-01-10,busan,15.350841
2024-01-11,busan,15.349173
2024-01-12,busan,15.347579
2024-01-13,busan,15.346068
2024-01-14,busan,15.344657
2024-01-15,busan,15.343349
2024-01-16,busan,15.342148
2024-01-17,busan,15.341118
2024-01-18,busan,15.340303
2024-01-19,busan,15.339722
2024-01-20,busan,15.339295
2024-01-21,busan,15.339041
2024-01-22,busan,15.338972
2024-01-23,busan,15.338998
2024-01-24,busan,15.339098
2024-01-25,busan,15.339244
2024-01-26,busan,15.339372
2024-01-27,busan,15.339445
2024-01-28,busan,15.339603
2024-01-29,busan,15.339956
2024-01-30,busan,15.340459
2024-01-31,busan,15.340972
2024-02-01,busan,15.341403
2024-02-02,busan,15.341747
2024-02-03,busan,15.342057
2024-02-04,busan,15.342333
2024-02-05,busan,15.342586
2024-02-06,busan,15.342802
2024-02-07,busan,15.342973
2024-02-08,busan,15.34305
2024-02-09,busan,15.343011
2024-02-10,busan,15.3428545
2024-02-11,busan,15.3426695
2024-02-12,busan,15.34251
2024-02-13,busan,15.342412
2024-02-14,busan,15.342313
2024-02-15,busan,15.342164
2024-02-16,busan,15.341946
2024-02-17,busan,15.3417225
2024-02-18,busan,15.341622
2024-02-19,busan,15.342065
2024-02-20,busan,15.343286
2024-02-21,busan,15.345006
2024-02-22,busan,15.346962
2024-02-23,busan,15.34924
2024-02-24,busan,15.351582
2024-02-25,busan,15.353743
2024-02-26,busan,15.355599
2024-02-27,busan,15.3571
2024-02-28,busan,15.358226
2024-02-29,busan,15.359316
2024-03-01,busan,15.360278
2024-03-02,busan,15.361303
2024-03-03,busan,15.362249
2024-03-04,busan,15.363018
2024-03-05,busan,15.363611
2024-03-06,busan,15.3639765
2024-03-07,busan,15.364091
2024-03-08,busan,15.363943
2024-03-09,busan,15.363558
2024-03-10,busan,15.362932
2024-03-11,busan,15.362032
2024-03-12,busan,15.360856
