dataDate,ename,issueVal
2023-12-07,chungbug,13.094335
2023-12-08,chungbug,13.095655
2023-12-09,chungbug,13.095444
2023-12-10,chungbug,13.093832
2023-12-11,chungbug,13.091725
2023-12-12,chungbug,13.089926
2023-12-13,chungbug,13.087662
2023-12-14,chungbug,13.085667
2023-12-15,chungbug,13.084194
2023-12-16,chungbug,13.083109
2023-12-17,chungbug,13.082719
2023-12-18,chungbug,13.082816
2023-12-19,chungbug,13.086096
2023-12-20,chungbug,13.086566
2023-12-21,chungbug,13.089754
2023-12-22,chungbug,13.09415
2023-12-23,chungbug,13.095625
2023-12-24,chungbug,13.095648
2023-12-25,chungbug,13.094652
2023-12-26,chungbug,13.092148
2023-12-27,chungbug,13.089128
2023-12-28,chungbug,13.086521
2023-12-29,chungbug,13.084307
2023-12-30,chungbug,13.082841
2023-12-31,chungbug,13.081692
2024-01-01,chungbug,13.080987
2024-01-02,chungbug,13.080283
2024-01-03,chungbug,13.079886
2024-01-04,chungbug,13.0789175
2024-01-05,chungbug,13.078662
2024-01-06,chungbug,13.078069
2024-01-07,chungbug,13.077139
2024-01-08,chungbug,13.076382
2024-01-09,chungbug,13.07582
2024-01-10,chungbug,13.075415
2024-01-11,chungbug,13.075132
2024-01-12,chungbug,13.074936
2024-01-13,chungbug,13.074795
2024-01-14,chungbug,13.07472
2024-01-15,chungbug,13.074682
2024-01-16,chungbug,13.074668
2024-01-17,chungbug,13.075176
2024-01-18,chungbug,13.075951
2024-01-19,chungbug,13.076837
2024-01-20,chungbug,13.077086
2024-01-21,chungbug,13.077677
2024-01-22,chungbug,13.078379
2024-01-23,chungbug,13.078384
2024-01-24,chungbug,13.078517
2024-01-25,chungbug,13.078479
2024-01-26,chungbug,13.078068
2024-01-27,chungbug,13.077548
2024-01-28,chungbug,13.0783205
2024-01-29,chungbug,13.079714
2024-01-30,chungbug,13.080581
2024-01-31,chungbug,13.080424
2024-02-01,chungbug,13.079794
2024-02-02,chungbug,13.079311
2024-02-03,chungbug,13.079303
2024-02-04,chungbug,13.079219
2024-02-05,chungbug,13.079281
2024-02-06,chungbug,13.079175
2024-02-07,chungbug,13.079046
2024-02-08,chungbug,13.0785055
2024-02-09,chungbug,13.077872
2024-02-10,chungbug,13.077254
2024-02-11,chungbug,13.0773535
2024-02-12,chungbug,13.077686
2024-02-13,chungbug,13.07819
2024-02-14,chungbug,13.078074
2024-02-15,chungbug,13.077671
2024-02-16,chungbug,13.077155
2024-02-17,chungbug,13.0772085
2024-02-18,chungbug,13.078156
2024-02-19,chungbug,13.082339
2024-02-20,chungbug,13.087535
2024-02-21,chungbug,13.0900545
2024-02-22,chungbug,13.09101
2024-02-23,chungbug,13.093205
2024-02-24,chungbug,13.093136
2024-02-25,chungbug,13.091881
2024-02-26,chungbug,13.090212
2024-02-27,chungbug,13.0885
2024-02-28,chungbug,13.086889
2024-02-29,chungbug,13.088193
2024-03-01,chungbug,13.0879545
2024-03-02,chungbug,13.089662
2024-03-03,chungbug,13.089511
2024-03-04,chungbug,13.088912
2024-03-05,chungbug,13.088358
2024-03-06,chungbug,13.087288
2024-03-07,chungbug,13.086124
2024-03-08,chungbug,13.084869
2024-03-09,chungbug,13.083785
2024-03-10,chungbug,13.082561
2024-03-11,chungbug,13.080986
2024-03-12,chungbug,13.079407
