dataDate,ename,issueVal
2023-12-07,chungnam,11.770578
2023-12-08,chungnam,11.771311
2023-12-09,chungnam,11.772405
2023-12-10,chungnam,11.773651
2023-12-11,chungnam,11.77464
2023-12-12,chungnam,11.775167
2023-12-13,chungnam,11.775715
2023-12-14,chungnam,11.775987
2023-12-15,chungnam,11.775999
2023-12-16,chungnam,11.775902
2023-12-17,chungnam,11.775614
2023-12-18,chungnam,11.775286
2023-12-19,chungnam,11.773919
2023-12-20,chungnam,11.774195
2023-12-21,chungnam,11.773342
2023-12-22,chungnam,11.772414
2023-12-23,chungnam,11.772992
2023-12-24,chungnam,11.7738905
2023-12-25,chungnam,11.77481
2023-12-26,chungnam,11.775923
2023-12-27,chungnam,11.776771
2023-12-28,chungnam,11.777113
2023-12-29,chungnam,11.777172
2023-12-30,chungnam,11.776926
2023-12-31,chungnam,11.776666
2024-01-01,chungnam,11.7763405
2024-01-02,chungnam,11.7761345
2024-01-03,chungnam,11.775874
2024-01-04,chungnam,11.775903
2024-01-05,chungnam,11.775605
2024-01-06,chungnam,11.775505
2024-01-07,chungnam,11.775515
2024-01-08,chungnam,11.77539
2024-01-09,chungnam,11.775176
2024-01-10,chungnam,11.774923
2024-01-11,chungnam,11.774661
2024-01-12,chungnam,11.774408
2024-01-13,chungnam,11.774173
2024-01-14,chungnam,11.773945
2024-01-15,chungnam,11.773735
2024-01-16,chungnam,11.773542
2024-01-17,chungnam,11.77318
2024-01-18,chungnam,11.7728195
2024-01-19,chungnam,11.772525
2024-01-20,chungnam,11.772555
2024-01-21,chungnam,11.772411
2024-01-22,chungnam,11.772263
2024-01-23,chungnam,11.772415
2024-01-24,chungnam,11.772441
2024-01-25,chungnam,11.7725115
2024-01-26,chungnam,11.772685
2024-01-27,chungnam,11.772823
2024-01-28,chungnam,11.772419
2024-01-29,chungnam,11.771961
2024-01-30,chungnam,11.771906
2024-01-31,chungnam,11.772273
2024-02-01,chungnam,11.772678
2024-02-02,chungnam,11.77287
2024-02-03,chungnam,11.772815
2024-02-04,chungnam,11.772823
2024-02-05,chungnam,11.772787
2024-02-06,chungnam,11.772845
2024-02-07,chungnam,11.772901
2024-02-08,chungnam,11.773097
2024-02-09,chungnam,11.7732525
2024-02-10,chungnam,11.773341
2024-02-11,chungnam,11.773124
2024-02-12,chungnam,11.772913
2024-02-13,chungnam,11.772728
2024-02-14,chungnam,11.772852
2024-02-15,chungnam,11.773029
2024-02-16,chungnam,11.773169
2024-02-17,chungnam,11.773027
2024-02-18,chungnam,11.772604
2024-02-19,chungnam,11.771151
2024-02-20,chungnam,11.769951
2024-02-21,chungnam,11.770296
2024-02-22,chungnam,11.771121
2024-02-23,chungnam,11.771181
2024-02-24,chungnam,11.772116
2024-02-25,chungnam,11.773156
2024-02-26,chungnam,11.773972
2024-02-27,chungnam,11.774519
2024-02-28,chungnam,11.774857
2024-02-29,chungnam,11.774022
2024-03-01,chungnam,11.774184
2024-03-02,chungnam,11.773615
2024-03-03,chungnam,11.774043
2024-03-04,chungnam,11.774513
2024-03-05,chungnam,11.774811
2024-03-06,chungnam,11.77521
2024-03-07,chungnam,11.775503
2024-03-08,chungnam,11.7757225
2024-03-09,chungnam,11.775795
2024-03-10,chungnam,11.77589
2024-03-11,chungnam,11.77607
2024-03-12,chungnam,11.776156
