dataDate,ename,issueVal
2023-12-07,daegu,10.104305
2023-12-08,daegu,10.10447
2023-12-09,daegu,10.104724
2023-12-10,daegu,10.104923
2023-12-11,daegu,10.104884
2023-12-12,daegu,10.104534
2023-12-13,daegu,10.104031
2023-12-14,daegu,10.103323
2023-12-15,daegu,10.1024685
2023-12-16,daegu,10.101574
2023-12-17,daegu,10.100672
2023-12-18,daegu,10.099861
2023-12-19,daegu,10.098925
2023-12-20,daegu,10.098677
2023-12-21,daegu,10.0983
2023-12-22,daegu,10.098121
2023-12-23,daegu,10.098564
2023-12-24,daegu,10.09917
2023-12-25,daegu,10.099737
2023-12-26,daegu,10.100223
2023-12-27,daegu,10.1004305
2023-12-28,daegu,10.100283
2023-12-29,daegu,10.099879
2023-12-30,daegu,10.099284
2023-12-31,daegu,10.098651
2024-01-01,daegu,10.098029
2024-01-02,daegu,10.097517
2024-01-03,daegu,10.09709
2024-01-04,daegu,10.096852
2024-01-05,daegu,10.096623
2024-01-06,daegu,10.096552
2024-01-07,daegu,10.096596
2024-01-08,daegu,10.096663
2024-01-09,daegu,10.096757
2024-01-10,daegu,10.096889
2024-01-11,daegu,10.097063
2024-01-12,daegu,10.097286
2024-01-13,daegu,10.097554
2024-01-14,daegu,10.0978565
2024-01-15,daegu,10.098191
2024-01-16,daegu,10.098549
2024-01-17,daegu,10.098873
2024-01-18,daegu,10.09922
2024-01-19,daegu,10.099609
2024-01-20,daegu,10.100103
2024-01-21,daegu,10.100537
2024-01-22,daegu,10.100954
2024-01-23,daegu,10.101426
2024-01-24,daegu,10.10181
2024-01-25,daegu,10.102148
2024-01-26,daegu,10.102449
2024-01-27,daegu,10.102668
2024-01-28,daegu,10.102675
2024-01-29,daegu,10.102651
2024-01-30,daegu,10.102758
2024-01-31,daegu,10.102984
2024-02-01,daegu,10.103186
2024-02-02,daegu,10.1032715
2024-02-03,daegu,10.103233
2024-02-04,daegu,10.103186
2024-02-05,daegu,10.1031
2024-02-06,daegu,10.1030245
2024-02-07,daegu,10.102941
2024-02-08,daegu,10.102889
2024-02-09,daegu,10.102809
2024-02-10,daegu,10.1026945
2024-02-11,daegu,10.1024885
2024-02-12,daegu,10.102305
2024-02-13,daegu,10.10217
2024-02-14,daegu,10.102163
2024-02-15,daegu,10.102193
2024-02-16,daegu,10.102216
2024-02-17,daegu,10.1021595
2024-02-18,daegu,10.102037
2024-02-19,daegu,10.101703
2024-02-20,daegu,10.101607
2024-02-21,daegu,10.102119
2024-02-22,daegu,10.102837
2024-02-23,daegu,10.103316
2024-02-24,daegu,10.103974
2024-02-25,daegu,10.104505
2024-02-26,daegu,10.104759
2024-02-27,daegu,10.104712
2024-02-28,daegu,10.104405
2024-02-29,daegu,10.103636
2024-03-01,daegu,10.103126
2024-03-02,daegu,10.102423
2024-03-03,daegu,10.102067
2024-03-04,daegu,10.101758
2024-03-05,daegu,10.101418
2024-03-06,daegu,10.101109
2024-03-07,daegu,10.100758
2024-03-08,daegu,10.100377
2024-03-09,daegu,10.099952
2024-03-10,daegu,10.099544
2024-03-11,daegu,10.099176
2024-03-12,daegu,10.098803
