dataDate,ename,issueVal
2023-12-07,daejeon,11.477907
2023-12-08,daejeon,11.47683
2023-12-09,daejeon,11.475902
2023-12-10,daejeon,11.475233
2023-12-11,daejeon,11.474801
2023-12-12,daejeon,11.474527
2023-12-13,daejeon,11.474486
2023-12-14,daejeon,11.474588
2023-12-15,daejeon,11.47477
2023-12-16,daejeon,11.4749975
2023-12-17,daejeon,11.475196
2023-12-18,daejeon,11.475343
2023-12-19,daejeon,11.475036
2023-12-20,daejeon,11.474888
2023-12-21,daejeon,11.474334
2023-12-22,daejeon,11.473417
2023-12-23,daejeon,11.472633
2023-12-24,daejeon,11.471991
2023-12-25,daejeon,11.4715395
2023-12-26,daejeon,11.471425
2023-12-27,daejeon,11.4716
2023-12-28,daejeon,11.471958
2023-12-29,daejeon,11.472452
2023-12-30,daejeon,11.472986
2023-12-31,daejeon,11.473549
2024-01-01,daejeon,11.474094
2024-01-02,daejeon,11.4746475
2024-01-03,daejeon,11.475167
2024-01-04,daejeon,11.475757
2024-01-05,daejeon,11.476283
2024-01-06,daejeon,11.476846
2024-01-07,daejeon,11.477468
2024-01-08,daejeon,11.478101
2024-01-09,daejeon,11.478733
2024-01-10,daejeon,11.479354
2024-01-11,daejeon,11.479952
2024-01-12,daejeon,11.480522
2024-01-13,daejeon,11.481066
2024-01-14,daejeon,11.481572
2024-01-15,daejeon,11.482048
2024-01-16,daejeon,11.482488
2024-01-17,daejeon,11.482827
2024-01-18,daejeon,11.483067
2024-01-19,daejeon,11.4832115
2024-01-20,daejeon,11.483358
2024-01-21,daejeon,11.48342
2024-01-22,daejeon,11.4834175
2024-01-23,daejeon,11.483451
2024-01-24,daejeon,11.483454
2024-01-25,daejeon,11.483469
2024-01-26,daejeon,11.483531
2024-01-27,daejeon,11.483629
2024-01-28,daejeon,11.483581
2024-01-29,daejeon,11.483384
2024-01-30,daejeon,11.483157
2024-01-31,daejeon,11.483007
2024-02-01,daejeon,11.482931
2024-02-02,daejeon,11.482886
2024-02-03,daejeon,11.482816
2024-02-04,daejeon,11.482768
2024-02-05,daejeon,11.482704
2024-02-06,daejeon,11.482657
2024-02-07,daejeon,11.482622
2024-02-08,daejeon,11.482653
2024-02-09,daejeon,11.482732
2024-02-10,daejeon,11.482855
2024-02-11,daejeon,11.482919
2024-02-12,daejeon,11.482943
2024-02-13,daejeon,11.482914
2024-02-14,daejeon,11.482932
2024-02-15,daejeon,11.482996
2024-02-16,daejeon,11.483103
2024-02-17,daejeon,11.4831705
2024-02-18,daejeon,11.4831085
2024-02-19,daejeon,11.482542
2024-02-20,daejeon,11.481556
2024-02-21,daejeon,11.480591
2024-02-22,daejeon,11.479694
2024-02-23,daejeon,11.478611
2024-02-24,daejeon,11.477756
2024-02-25,daejeon,11.477128
2024-02-26,daejeon,11.476705
2024-02-27,daejeon,11.476452
2024-02-28,daejeon,11.476341
2024-02-29,daejeon,11.475961
2024-03-01,daejeon,11.475716
2024-03-02,daejeon,11.475221
2024-03-03,daejeon,11.474874
2024-03-04,daejeon,11.474608
2024-03-05,daejeon,11.474398
2024-03-06,daejeon,11.47432
2024-03-07,daejeon,11.47435
2024-03-08,daejeon,11.474489
2024-03-09,daejeon,11.474702
2024-03-10,daejeon,11.475013
2024-03-11,daejeon,11.475449
2024-03-12,daejeon,11.4759865
