dataDate,ename,issueVal
2023-12-07,gangwon,9.830568
2023-12-08,gangwon,9.833401
2023-12-09,gangwon,9.8344755
2023-12-10,gangwon,9.833715
2023-12-11,gangwon,9.831927
2023-12-12,gangwon,9.830019
2023-12-13,gangwon,9.827378
2023-12-14,gangwon,9.824746
2023-12-15,gangwon,9.822503
2023-12-16,gangwon,9.820627
2023-12-17,gangwon,9.819498
2023-12-18,gangwon,9.819004
2023-12-19,gangwon,9.821954
2023-12-20,gangwon,9.822698
2023-12-21,gangwon,9.826199
2023-12-22,gangwon,9.831418
2023-12-23,gangwon,9.834184
2023-12-24,gangwon,9.83532
2023-12-25,gangwon,9.835073
2023-12-26,gangwon,9.832877
2023-12-27,gangwon,9.8296175
2023-12-28,gangwon,9.826329
2023-12-29,gangwon,9.823196
2023-12-30,gangwon,9.820722
2023-12-31,gangwon,9.818612
2024-01-01,gangwon,9.817024
2024-01-02,gangwon,9.815547
2024-01-03,gangwon,9.814447
2024-01-04,gangwon,9.812851
2024-01-05,gangwon,9.811948
2024-01-06,gangwon,9.810798
2024-01-07,gangwon,9.809309
2024-01-08,gangwon,9.807946
2024-01-09,gangwon,9.806784
2024-01-10,gangwon,9.8058195
2024-01-11,gangwon,9.805039
2024-01-12,gangwon,9.804409
2024-01-13,gangwon,9.803897
2024-01-14,gangwon,9.803511
2024-01-15,gangwon,9.803213
2024-01-16,gangwon,9.802988
2024-01-17,gangwon,9.803339
2024-01-18,gangwon,9.804091
2024-01-19,gangwon,9.805097
2024-01-20,gangwon,9.805567
2024-01-21,gangwon,9.80636
2024-01-22,gangwon,9.807318
2024-01-23,gangwon,9.807618
2024-01-24,gangwon,9.807967
2024-01-25,gangwon,9.808111
2024-01-26,gangwon,9.807824
2024-01-27,gangwon,9.807326
2024-01-28,gangwon,9.808077
2024-01-29,gangwon,9.809633
2024-01-30,gangwon,9.810877
2024-01-31,gangwon,9.811124
2024-02-01,gangwon,9.810736
2024-02-02,gangwon,9.810319
2024-02-03,gangwon,9.810295
2024-02-04,gangwon,9.81022
2024-02-05,gangwon,9.810291
2024-02-06,gangwon,9.810204
2024-02-07,gangwon,9.810075
2024-02-08,gangwon,9.809502
2024-02-09,gangwon,9.808745
2024-02-10,gangwon,9.807924
2024-02-11,gangwon,9.807786
2024-02-12,gangwon,9.807981
2024-02-13,gangwon,9.808451
2024-02-14,gangwon,9.808381
2024-02-15,gangwon,9.807972
2024-02-16,gangwon,9.807363
2024-02-17,gangwon,9.807268
2024-02-18,gangwon,9.808146
2024-02-19,gangwon,9.812555
2024-02-20,gangwon,9.818734
2024-02-21,gangwon,9.822832
2024-02-22,gangwon,9.825311
2024-02-23,gangwon,9.828795
2024-02-24,gangwon,9.830008
2024-02-25,gangwon,9.829645
2024-02-26,gangwon,9.828408
2024-02-27,gangwon,9.826747
2024-02-28,gangwon,9.82492
2024-02-29,gangwon,9.8259115
2024-03-01,gangwon,9.825703
2024-03-02,gangwon,9.827466
2024-03-03,gangwon,9.827636
2024-03-04,gangwon,9.827217
2024-03-05,gangwon,9.826676
2024-03-06,gangwon,9.825498
2024-03-07,gangwon,9.824054
2024-03-08,gangwon,9.822381
2024-03-09,gangwon,9.82077
2024-03-10,gangwon,9.818962
2024-03-11,gangwon,9.816728
2024-03-12,gangwon,9.814368
