dataDate,ename,issueVal
2023-12-07,gwangju,9.41402
2023-12-08,gwangju,9.415938
2023-12-09,gwangju,9.417125
2023-12-10,gwangju,9.417436
2023-12-11,gwangju,9.417152
2023-12-12,gwangju,9.416628
2023-12-13,gwangju,9.415481
2023-12-14,gwangju,9.414095
2023-12-15,gwangju,9.412675
2023-12-16,gwangju,9.411252
2023-12-17,gwangju,9.410089
2023-12-18,gwangju,9.409192
2023-12-19,gwangju,9.410093
2023-12-20,gwangju,9.409956
2023-12-21,gwangju,9.411469
2023-12-22,gwangju,9.414073
2023-12-23,gwangju,9.415679
2023-12-24,gwangju,9.416741
2023-12-25,gwangju,9.417249
2023-12-26,gwangju,9.4167595
2023-12-27,gwangju,9.415597
2023-12-28,gwangju,9.414181
2023-12-29,gwangju,9.412553
2023-12-30,gwangju,9.410995
2023-12-31,gwangju,9.409412
2024-01-01,gwangju,9.407968
2024-01-02,gwangju,9.406518
2024-01-03,gwangju,9.405264
2024-01-04,gwangju,9.403787
2024-01-05,gwangju,9.402721
2024-01-06,gwangju,9.401578
2024-01-07,gwangju,9.400319
2024-01-08,gwangju,9.399177
2024-01-09,gwangju,9.398165
2024-01-10,gwangju,9.397279
2024-01-11,gwangju,9.396517
2024-01-12,gwangju,9.395868
2024-01-13,gwangju,9.395322
2024-01-14,gwangju,9.394886
2024-01-15,gwangju,9.394541
2024-01-16,gwangju,9.394277
2024-01-17,gwangju,9.394353
2024-01-18,gwangju,9.394677
2024-01-19,gwangju,9.395195
2024-01-20,gwangju,9.395508
2024-01-21,gwangju,9.396061
2024-01-22,gwangju,9.396743
2024-01-23,gwangju,9.397122
2024-01-24,gwangju,9.397554
2024-01-25,gwangju,9.397876
2024-01-26,gwangju,9.397954
2024-01-27,gwangju,9.397888
2024-01-28,gwangju,9.398413
2024-01-29,gwangju,9.399306
2024-01-30,gwangju,9.400048
2024-01-31,gwangju,9.400329
2024-02-01,gwangju,9.400325
2024-02-02,gwangju,9.400296
2024-02-03,gwangju,9.400422
2024-02-04,gwangju,9.400464
2024-02-05,gwangju,9.400542
2024-02-06,gwangju,9.400511
2024-02-07,gwangju,9.400441
2024-02-08,gwangju,9.400128
2024-02-09,gwangju,9.399701
2024-02-10,gwangju,9.399208
2024-02-11,gwangju,9.399028
2024-02-12,gwangju,9.398985
2024-02-13,gwangju,9.39909
2024-02-14,gwangju,9.398948
2024-02-15,gwangju,9.398671
2024-02-16,gwangju,9.398313
2024-02-17,gwangju,9.398213
2024-02-18,gwangju,9.398603
2024-02-19,gwangju,9.400837
2024-02-20,gwangju,9.404082
2024-02-21,gwangju,9.406502
2024-02-22,gwangju,9.408404
2024-02-23,gwangju,9.411036
2024-02-24,gwangju,9.4125805
2024-02-25,gwangju,9.413343
2024-02-26,gwangju,9.413562
2024-02-27,gwangju,9.413364
2024-02-28,gwangju,9.412831
2024-02-29,gwangju,9.413508
2024-03-01,gwangju,9.41337
2024-03-02,gwangju,9.414193
2024-03-03,gwangju,9.414175
2024-03-04,gwangju,9.413906
2024-03-05,gwangju,9.41359
2024-03-06,gwangju,9.412923
2024-03-07,gwangju,9.412076
2024-03-08,gwangju,9.411041
2024-03-09,gwangju,9.409958
2024-03-10,gwangju,9.408695
2024-03-11,gwangju,9.407145
2024-03-12,gwangju,9.405467
