dataDate,ename,issueVal
2023-12-07,gyeongbug,9.515292
2023-12-08,gyeongbug,9.514122
2023-12-09,gyeongbug,9.514526
2023-12-10,gyeongbug,9.516398
2023-12-11,gyeongbug,9.518897
2023-12-12,gyeongbug,9.521191
2023-12-13,gyeongbug,9.523818
2023-12-14,gyeongbug,9.526131
2023-12-15,gyeongbug,9.527847
2023-12-16,gyeongbug,9.529053
2023-12-17,gyeongbug,9.529491
2023-12-18,gyeongbug,9.529346
2023-12-19,gyeongbug,9.526304
2023-12-20,gyeongbug,9.525446
2023-12-21,gyeongbug,9.522363
2023-12-22,gyeongbug,9.518144
2023-12-23,gyeongbug,9.5164385
2023-12-24,gyeongbug,9.516296
2023-12-25,gyeongbug,9.517333
2023-12-26,gyeongbug,9.5198965
2023-12-27,gyeongbug,9.523081
2023-12-28,gyeongbug,9.525942
2023-12-29,gyeongbug,9.5283575
2023-12-30,gyeongbug,9.529958
2023-12-31,gyeongbug,9.531081
2024-01-01,gyeongbug,9.531655
2024-01-02,gyeongbug,9.532092
2024-01-03,gyeongbug,9.532185
2024-01-04,gyeongbug,9.532717
2024-01-05,gyeongbug,9.53264
2024-01-06,gyeongbug,9.532811
2024-01-07,gyeongbug,9.53329
2024-01-08,gyeongbug,9.53365
2024-01-09,gyeongbug,9.533842
2024-01-10,gyeongbug,9.533884
2024-01-11,gyeongbug,9.533805
2024-01-12,gyeongbug,9.533646
2024-01-13,gyeongbug,9.533439
2024-01-14,gyeongbug,9.533185
2024-01-15,gyeongbug,9.532915
2024-01-16,gyeongbug,9.532644
2024-01-17,gyeongbug,9.5319395
2024-01-18,gyeongbug,9.530995
2024-01-19,gyeongbug,9.529956
2024-01-20,gyeongbug,9.529495
2024-01-21,gyeongbug,9.528823
2024-01-22,gyeongbug,9.528093
2024-01-23,gyeongbug,9.527999
2024-01-24,gyeongbug,9.527879
2024-01-25,gyeongbug,9.527941
2024-01-26,gyeongbug,9.528358
2024-01-27,gyeongbug,9.52891
2024-01-28,gyeongbug,9.528343
2024-01-29,gyeongbug,9.527141
2024-01-30,gyeongbug,9.526317
2024-01-31,gyeongbug,9.526417
2024-02-01,gyeongbug,9.527037
2024-02-02,gyeongbug,9.527608
2024-02-03,gyeongbug,9.527773
2024-02-04,gyeongbug,9.527958
2024-02-05,gyeongbug,9.52799
2024-02-06,gyeongbug,9.528142
2024-02-07,gyeongbug,9.528307
2024-02-08,gyeongbug,9.528826
2024-02-09,gyeongbug,9.529443
2024-02-10,gyeongbug,9.530048
2024-02-11,gyeongbug,9.530012
2024-02-12,gyeongbug,9.529696
2024-02-13,gyeongbug,9.529182
2024-02-14,gyeongbug,9.5291815
2024-02-15,gyeongbug,9.529475
2024-02-16,gyeongbug,9.529911
2024-02-17,gyeongbug,9.529873
2024-02-18,gyeongbug,9.529016
2024-02-19,gyeongbug,9.525258
2024-02-20,gyeongbug,9.520382
2024-02-21,gyeongbug,9.517761
2024-02-22,gyeongbug,9.516778
2024-02-23,gyeongbug,9.515024
2024-02-24,gyeongbug,9.515336
2024-02-25,gyeongbug,9.516915
2024-02-26,gyeongbug,9.519031
2024-02-27,gyeongbug,9.521236
2024-02-28,gyeongbug,9.523313
2024-02-29,gyeongbug,9.522745
2024-03-01,gyeongbug,9.523209
2024-03-02,gyeongbug,9.52193
2024-03-03,gyeongbug,9.5220995
2024-03-04,gyeongbug,9.522736
2024-03-05,gyeongbug,9.523391
2024-03-06,gyeongbug,9.524501
2024-03-07,gyeongbug,9.52571
2024-03-08,gyeongbug,9.5269785
2024-03-09,gyeongbug,9.528061
2024-03-10,gyeongbug,9.529199
2024-03-11,gyeongbug,9.530587
2024-03-12,gyeongbug,9.531955
