dataDate,ename,issueVal
2023-12-07,gyeonggi,17.860233
2023-12-08,gyeonggi,17.861465
2023-12-09,gyeonggi,17.860828
2023-12-10,gyeonggi,17.858595
2023-12-11,gyeonggi,17.855894
2023-12-12,gyeonggi,17.8537
2023-12-13,gyeonggi,17.85109
2023-12-14,gyeonggi,17.848917
2023-12-15,gyeonggi,17.847445
2023-12-16,gyeonggi,17.846474
2023-12-17,gyeonggi,17.846334
2023-12-18,gyeonggi,17.846743
2023-12-19,gyeonggi,17.850817
2023-12-20,gyeonggi,17.851469
2023-12-21,gyeonggi,17.855198
2023-12-22,gyeonggi,17.860214
2023-12-23,gyeonggi,17.861649
2023-12-24,gyeonggi,17.861307
2023-12-25,gyeonggi,17.859795
2023-12-26,gyeonggi,17.85661
2023-12-27,gyeonggi,17.852968
2023-12-28,gyeonggi,17.849981
2023-12-29,gyeonggi,17.847591
2023-12-30,gyeonggi,17.846174
2023-12-31,gyeonggi,17.845171
2024-01-01,gyeonggi,17.844694
2024-01-02,gyeonggi,17.844198
2024-01-03,gyeonggi,17.844032
2024-01-04,gyeonggi,17.843159
2024-01-05,gyeonggi,17.843102
2024-01-06,gyeonggi,17.84262
2024-01-07,gyeonggi,17.841726
2024-01-08,gyeonggi,17.841028
2024-01-09,gyeonggi,17.840559
2024-01-10,gyeonggi,17.840261
2024-01-11,gyeonggi,17.840096
2024-01-12,gyeonggi,17.84001
2024-01-13,gyeonggi,17.839964
2024-01-14,gyeonggi,17.839977
2024-01-15,gyeonggi,17.840008
2024-01-16,gyeonggi,17.840052
2024-01-17,gyeonggi,17.840683
2024-01-18,gyeonggi,17.841597
2024-01-19,gyeonggi,17.8426
2024-01-20,gyeonggi,17.842821
2024-01-21,gyeonggi,17.84342
2024-01-22,gyeonggi,17.844133
2024-01-23,gyeonggi,17.84402
2024-01-24,gyeonggi,17.84406
2024-01-25,gyeonggi,17.843914
2024-01-26,gyeonggi,17.843348
2024-01-27,gyeonggi,17.842688
2024-01-28,gyeonggi,17.843569
2024-01-29,gyeonggi,17.845167
2024-01-30,gyeonggi,17.84611
2024-01-31,gyeonggi,17.845816
2024-02-01,gyeonggi,17.844973
2024-02-02,gyeonggi,17.844337
2024-02-03,gyeonggi,17.844296
2024-02-04,gyeonggi,17.84419
2024-02-05,gyeonggi,17.844267
2024-02-06,gyeonggi,17.844149
2024-02-07,gyeonggi,17.844006
2024-02-08,gyeonggi,17.843388
2024-02-09,gyeonggi,17.842682
2024-02-10,gyeonggi,17.842014
2024-02-11,gyeonggi,17.842207
2024-02-12,gyeonggi,17.84267
2024-02-13,gyeonggi,17.843313
2024-02-14,gyeonggi,17.843199
2024-02-15,gyeonggi,17.842741
2024-02-16,gyeonggi,17.842155
2024-02-17,gyeonggi,17.842253
2024-02-18,gyeonggi,17.843397
2024-02-19,gyeonggi,17.848284
2024-02-20,gyeonggi,17.854214
2024-02-21,gyeonggi,17.856817
2024-02-22,gyeonggi,17.85747
2024-02-23,gyeonggi,17.859554
2024-02-24,gyeonggi,17.858992
2024-02-25,gyeonggi,17.857101
2024-02-26,gyeonggi,17.854845
2024-02-27,gyeonggi,17.852684
2024-02-28,gyeonggi,17.850773
2024-02-29,gyeonggi,17.852364
2024-03-01,gyeonggi,17.85216
2024-03-02,gyeonggi,17.854206
2024-03-03,gyeonggi,17.854034
2024-03-04,gyeonggi,17.85331
2024-03-05,gyeonggi,17.85266
2024-03-06,gyeonggi,17.85143
2024-03-07,gyeonggi,17.850142
2024-03-08,gyeonggi,17.848793
2024-03-09,gyeonggi,17.847687
2024-03-10,gyeonggi,17.84645
2024-03-11,gyeonggi,17.844837
2024-03-12,gyeonggi,17.843243
