dataDate,ename,issueVal
2023-12-07,gyeongnam,22.248415
2023-12-08,gyeongnam,22.251467
2023-12-09,gyeongnam,22.253113
2023-12-10,gyeongnam,22.253262
2023-12-11,gyeongnam,22.252562
2023-12-12,gyeongnam,22.251724
2023-12-13,gyeongnam,22.250105
2023-12-14,gyeongnam,22.248346
2023-12-15,gyeongnam,22.246754
2023-12-16,gyeongnam,22.245295
2023-12-17,gyeongnam,22.24434
2023-12-18,gyeongnam,22.243809
2023-12-19,gyeongnam,22.246277
2023-12-20,gyeongnam,22.246645
2023-12-21,gyeongnam,22.249605
2023-12-22,gyeongnam,22.254143
2023-12-23,gyeongnam,22.256565
2023-12-24,gyeongnam,22.25777
2023-12-25,gyeongnam,22.257936
2023-12-26,gyeongnam,22.25647
2023-12-27,gyeongnam,22.254091
2023-12-28,gyeongnam,22.251623
2023-12-29,gyeongnam,22.249136
2023-12-30,gyeongnam,22.247046
2023-12-31,gyeongnam,22.245085
2024-01-01,gyeongnam,22.243431
2024-01-02,gyeongnam,22.241743
2024-01-03,gyeongnam,22.240316
2024-01-04,gyeongnam,22.238382
2024-01-05,gyeongnam,22.237059
2024-01-06,gyeongnam,22.235476
2024-01-07,gyeongnam,22.233583
2024-01-08,gyeongnam,22.231817
2024-01-09,gyeongnam,22.230219
2024-01-10,gyeongnam,22.228786
2024-01-11,gyeongnam,22.22751
2024-01-12,gyeongnam,22.226368
2024-01-13,gyeongnam,22.225344
2024-01-14,gyeongnam,22.224453
2024-01-15,gyeongnam,22.22367
2024-01-16,gyeongnam,22.22298
2024-01-17,gyeongnam,22.222849
2024-01-18,gyeongnam,22.2231
2024-01-19,gyeongnam,22.223625
2024-01-20,gyeongnam,22.22373
2024-01-21,gyeongnam,22.224216
2024-01-22,gyeongnam,22.22491
2024-01-23,gyeongnam,22.225067
2024-01-24,gyeongnam,22.225348
2024-01-25,gyeongnam,22.225483
2024-01-26,gyeongnam,22.225262
2024-01-27,gyeongnam,22.224876
2024-01-28,gyeongnam,22.225613
2024-01-29,gyeongnam,22.22704
2024-01-30,gyeongnam,22.228172
2024-01-31,gyeongnam,22.228455
2024-02-01,gyeongnam,22.228237
2024-02-02,gyeongnam,22.228035
2024-02-03,gyeongnam,22.228186
2024-02-04,gyeongnam,22.22825
2024-02-05,gyeongnam,22.228428
2024-02-06,gyeongnam,22.228443
2024-02-07,gyeongnam,22.228409
2024-02-08,gyeongnam,22.227962
2024-02-09,gyeongnam,22.227345
2024-02-10,gyeongnam,22.226645
2024-02-11,gyeongnam,22.226532
2024-02-12,gyeongnam,22.226664
2024-02-13,gyeongnam,22.227015
2024-02-14,gyeongnam,22.226871
2024-02-15,gyeongnam,22.226444
2024-02-16,gyeongnam,22.225857
2024-02-17,gyeongnam,22.225735
2024-02-18,gyeongnam,22.226469
2024-02-19,gyeongnam,22.230354
2024-02-20,gyeongnam,22.235794
2024-02-21,gyeongnam,22.23945
2024-02-22,gyeongnam,22.241913
2024-02-23,gyeongnam,22.245537
2024-02-24,gyeongnam,22.24725
2024-02-25,gyeongnam,22.24771
2024-02-26,gyeongnam,22.247465
2024-02-27,gyeongnam,22.246822
2024-02-28,gyeongnam,22.245935
2024-02-29,gyeongnam,22.247458
2024-03-01,gyeongnam,22.247688
2024-03-02,gyeongnam,22.249632
2024-03-03,gyeongnam,22.250048
2024-03-04,gyeongnam,22.24996
2024-03-05,gyeongnam,22.24977
2024-03-06,gyeongnam,22.248981
2024-03-07,gyeongnam,22.247917
2024-03-08,gyeongnam,22.24659
2024-03-09,gyeongnam,22.245237
2024-03-10,gyeongnam,22.243616
2024-03-11,gyeongnam,22.241524
2024-03-12,gyeongnam,22.239239
