dataDate,ename,issueVal
2023-12-07,incheon,17.792072
2023-12-08,incheon,17.790293
2023-12-09,incheon,17.788763
2023-12-10,incheon,17.787752
2023-12-11,incheon,17.787378
2023-12-12,incheon,17.787537
2023-12-13,incheon,17.788073
2023-12-14,incheon,17.78895
2023-12-15,incheon,17.790016
2023-12-16,incheon,17.791119
2023-12-17,incheon,17.79215
2023-12-18,incheon,17.792994
2023-12-19,incheon,17.793428
2023-12-20,incheon,17.793207
2023-12-21,incheon,17.792809
2023-12-22,incheon,17.791742
2023-12-23,incheon,17.790154
2023-12-24,incheon,17.788752
2023-12-25,incheon,17.787766
2023-12-26,incheon,17.78734
2023-12-27,incheon,17.787601
2023-12-28,incheon,17.78843
2023-12-29,incheon,17.789583
2023-12-30,incheon,17.790878
2023-12-31,incheon,17.792147
2024-01-01,incheon,17.793324
2024-01-02,incheon,17.794373
2024-01-03,incheon,17.795307
2024-01-04,incheon,17.79615
2024-01-05,incheon,17.796974
2024-01-06,incheon,17.797686
2024-01-07,incheon,17.79839
2024-01-08,incheon,17.799128
2024-01-09,incheon,17.79985
2024-01-10,incheon,17.800516
2024-01-11,incheon,17.801102
2024-01-12,incheon,17.801605
2024-01-13,incheon,17.802029
2024-01-14,incheon,17.802374
2024-01-15,incheon,17.802649
2024-01-16,incheon,17.802862
2024-01-17,incheon,17.802994
2024-01-18,incheon,17.802956
2024-01-19,incheon,17.802748
2024-01-20,incheon,17.802427
2024-01-21,incheon,17.802109
2024-01-22,incheon,17.801723
2024-01-23,incheon,17.801315
2024-01-24,incheon,17.800993
2024-01-25,incheon,17.80072
2024-01-26,incheon,17.800539
2024-01-27,incheon,17.800493
2024-01-28,incheon,17.800484
2024-01-29,incheon,17.800255
2024-01-30,incheon,17.799795
2024-01-31,incheon,17.79932
2024-02-01,incheon,17.79903
2024-02-02,incheon,17.798943
2024-02-03,incheon,17.798948
2024-02-04,incheon,17.798954
2024-02-05,incheon,17.798964
2024-02-06,incheon,17.798965
2024-02-07,incheon,17.79899
2024-02-08,incheon,17.799065
2024-02-09,incheon,17.799248
2024-02-10,incheon,17.799528
2024-02-11,incheon,17.799831
2024-02-12,incheon,17.800024
2024-02-13,incheon,17.800085
2024-02-14,incheon,17.80006
2024-02-15,incheon,17.800095
2024-02-16,incheon,17.800219
2024-02-17,incheon,17.800398
2024-02-18,incheon,17.800463
2024-02-19,incheon,17.800104
2024-02-20,incheon,17.798832
2024-02-21,incheon,17.796885
2024-02-22,incheon,17.794977
2024-02-23,incheon,17.793264
2024-02-24,incheon,17.791616
2024-02-25,incheon,17.79046
2024-02-26,incheon,17.789883
2024-02-27,incheon,17.7898
2024-02-28,incheon,17.79009
2024-02-29,incheon,17.790464
2024-03-01,incheon,17.790527
2024-03-02,incheon,17.790508
2024-03-03,incheon,17.790226
2024-03-04,incheon,17.790089
2024-03-05,incheon,17.790127
2024-03-06,incheon,17.79032
2024-03-07,incheon,17.79072
2024-03-08,incheon,17.791288
2024-03-09,incheon,17.791994
2024-03-10,incheon,17.792776
2024-03-11,incheon,17.793669
2024-03-12,incheon,17.794699
