dataDate,ename,issueVal
2023-12-07,jeju,12.008323
2023-12-08,jeju,12.010054
2023-12-09,jeju,12.011521
2023-12-10,jeju,12.01267
2023-12-11,jeju,12.013604
2023-12-12,jeju,12.014434
2023-12-13,jeju,12.014905
2023-12-14,jeju,12.015151
2023-12-15,jeju,12.015221
2023-12-16,jeju,12.015101
2023-12-17,jeju,12.014912
2023-12-18,jeju,12.014659
2023-12-19,jeju,12.015117
2023-12-20,jeju,12.014935
2023-12-21,jeju,12.015516
2023-12-22,jeju,12.016624
2023-12-23,jeju,12.017311
2023-12-24,jeju,12.017883
2023-12-25,jeju,12.018357
2023-12-26,jeju,12.0184965
2023-12-27,jeju,12.018405
2023-12-28,jeju,12.018208
2023-12-29,jeju,12.017847
2023-12-30,jeju,12.017392
2023-12-31,jeju,12.016764
2024-01-01,jeju,12.016029
2024-01-02,jeju,12.015127
2024-01-03,jeju,12.014178
2024-01-04,jeju,12.013
2024-01-05,jeju,12.011933
2024-01-06,jeju,12.010753
2024-01-07,jeju,12.009466
2024-01-08,jeju,12.008201
2024-01-09,jeju,12.006972
2024-01-10,jeju,12.005783
2024-01-11,jeju,12.004638
2024-01-12,jeju,12.003542
2024-01-13,jeju,12.002502
2024-01-14,jeju,12.001531
2024-01-15,jeju,12.000628
2024-01-16,jeju,11.999797
2024-01-17,jeju,11.999171
2024-01-18,jeju,11.998708
2024-01-19,jeju,11.998392
2024-01-20,jeju,11.998047
2024-01-21,jeju,11.997901
2024-01-22,jeju,11.997897
2024-01-23,jeju,11.99783
2024-01-24,jeju,11.997872
2024-01-25,jeju,11.997933
2024-01-26,jeju,11.997935
2024-01-27,jeju,11.997914
2024-01-28,jeju,11.998204
2024-01-29,jeju,11.998681
2024-01-30,jeju,11.999093
2024-01-31,jeju,11.999315
2024-02-01,jeju,11.999447
2024-02-02,jeju,11.999602
2024-02-03,jeju,11.999851
2024-02-04,jeju,12.00005
2024-02-05,jeju,12.000256
2024-02-06,jeju,12.000397
2024-02-07,jeju,12.000504
2024-02-08,jeju,12.000474
2024-02-09,jeju,12.000374
2024-02-10,jeju,12.000215
2024-02-11,jeju,12.0001745
2024-02-12,jeju,12.000157
2024-02-13,jeju,12.000176
2024-02-14,jeju,12.000052
2024-02-15,jeju,11.99986
2024-02-16,jeju,11.999626
2024-02-17,jeju,11.999513
2024-02-18,jeju,11.999628
2024-02-19,jeju,12.000625
2024-02-20,jeju,12.002115
2024-02-21,jeju,12.003283
2024-02-22,jeju,12.004369
2024-02-23,jeju,12.006018
2024-02-24,jeju,12.007326
2024-02-25,jeju,12.008443
2024-02-26,jeju,12.009436
2024-02-27,jeju,12.010296
2024-02-28,jeju,12.010989
2024-02-29,jeju,12.012206
2024-03-01,jeju,12.012908
2024-03-02,jeju,12.013981
2024-03-03,jeju,12.014548
2024-03-04,jeju,12.014941
2024-03-05,jeju,12.015265
2024-03-06,jeju,12.0153675
2024-03-07,jeju,12.0153265
2024-03-08,jeju,12.015122
2024-03-09,jeju,12.014808
2024-03-10,jeju,12.014308
2024-03-11,jeju,12.013565
2024-03-12,jeju,12.012651
