dataDate,ename,issueVal
2023-12-07,jeonbug,14.499004
2023-12-08,jeonbug,14.502186
2023-12-09,jeonbug,14.504664
2023-12-10,jeonbug,14.506172
2023-12-11,jeonbug,14.5069
2023-12-12,jeonbug,14.507204
2023-12-13,jeonbug,14.506818
2023-12-14,jeonbug,14.506066
2023-12-15,jeonbug,14.5051775
2023-12-16,jeonbug,14.504225
2023-12-17,jeonbug,14.503467
2023-12-18,jeonbug,14.502939
2023-12-19,jeonbug,14.504101
2023-12-20,jeonbug,14.504536
2023-12-21,jeonbug,14.506416
2023-12-22,jeonbug,14.509497
2023-12-23,jeonbug,14.511872
2023-12-24,jeonbug,14.513629
2023-12-25,jeonbug,14.514675
2023-12-26,jeonbug,14.514578
2023-12-27,jeonbug,14.513584
2023-12-28,jeonbug,14.512131
2023-12-29,jeonbug,14.510371
2023-12-30,jeonbug,14.508623
2023-12-31,jeonbug,14.506856
2024-01-01,jeonbug,14.505218
2024-01-02,jeonbug,14.503571
2024-01-03,jeonbug,14.502065
2024-01-04,jeonbug,14.500304
2024-01-05,jeonbug,14.498813
2024-01-06,jeonbug,14.497203
2024-01-07,jeonbug,14.495398
2024-01-08,jeonbug,14.4935875
2024-01-09,jeonbug,14.491826
2024-01-10,jeonbug,14.490143
2024-01-11,jeonbug,14.48855
2024-01-12,jeonbug,14.487059
2024-01-13,jeonbug,14.485665
2024-01-14,jeonbug,14.484381
2024-01-15,jeonbug,14.483201
2024-01-16,jeonbug,14.48212
2024-01-17,jeonbug,14.48139
2024-01-18,jeonbug,14.480979
2024-01-19,jeonbug,14.480851
2024-01-20,jeonbug,14.480629
2024-01-21,jeonbug,14.480662
2024-01-22,jeonbug,14.480893
2024-01-23,jeonbug,14.480925
2024-01-24,jeonbug,14.481025
2024-01-25,jeonbug,14.481068
2024-01-26,jeonbug,14.48092
2024-01-27,jeonbug,14.480638
2024-01-28,jeonbug,14.480919
2024-01-29,jeonbug,14.481699
2024-01-30,jeonbug,14.482504
2024-01-31,jeonbug,14.48295
2024-02-01,jeonbug,14.48309
2024-02-02,jeonbug,14.483141
2024-02-03,jeonbug,14.4833145
2024-02-04,jeonbug,14.483433
2024-02-05,jeonbug,14.483606
2024-02-06,jeonbug,14.483709
2024-02-07,jeonbug,14.483774
2024-02-08,jeonbug,14.483598
2024-02-09,jeonbug,14.483261
2024-02-10,jeonbug,14.482809
2024-02-11,jeonbug,14.482611
2024-02-12,jeonbug,14.482574
2024-02-13,jeonbug,14.482714
2024-02-14,jeonbug,14.482649
2024-02-15,jeonbug,14.482415
2024-02-16,jeonbug,14.482038
2024-02-17,jeonbug,14.481846
2024-02-18,jeonbug,14.482136
2024-02-19,jeonbug,14.484267
2024-02-20,jeonbug,14.487755
2024-02-21,jeonbug,14.490862
2024-02-22,jeonbug,14.493516
2024-02-23,jeonbug,14.496776
2024-02-24,jeonbug,14.49912
2024-02-25,jeonbug,14.500626
2024-02-26,jeonbug,14.501473
2024-02-27,jeonbug,14.50182
2024-02-28,jeonbug,14.501786
2024-02-29,jeonbug,14.502869
2024-03-01,jeonbug,14.503429
2024-03-02,jeonbug,14.504911
2024-03-03,jeonbug,14.505766
2024-03-04,jeonbug,14.506301
2024-03-05,jeonbug,14.506667
2024-03-06,jeonbug,14.5065975
2024-03-07,jeonbug,14.506219
2024-03-08,jeonbug,14.505532
2024-03-09,jeonbug,14.504676
2024-03-10,jeonbug,14.5035515
2024-03-11,jeonbug,14.502044
2024-03-12,jeonbug,14.500271
