dataDate,ename,issueVal
2023-12-07,jeonnam,12.712346
2023-12-08,jeonnam,12.713991
2023-12-09,jeonnam,12.715434
2023-12-10,jeonnam,12.716441
2023-12-11,jeonnam,12.716926
2023-12-12,jeonnam,12.716977
2023-12-13,jeonnam,12.716654
2023-12-14,jeonnam,12.716019
2023-12-15,jeonnam,12.715204
2023-12-16,jeonnam,12.714323
2023-12-17,jeonnam,12.713489
2023-12-18,jeonnam,12.712797
2023-12-19,jeonnam,12.712577
2023-12-20,jeonnam,12.712713
2023-12-21,jeonnam,12.713185
2023-12-22,jeonnam,12.714271
2023-12-23,jeonnam,12.715653
2023-12-24,jeonnam,12.7169
2023-12-25,jeonnam,12.717811
2023-12-26,jeonnam,12.718214
2023-12-27,jeonnam,12.718033
2023-12-28,jeonnam,12.717379
2023-12-29,jeonnam,12.716417
2023-12-30,jeonnam,12.715316
2023-12-31,jeonnam,12.71419
2024-01-01,jeonnam,12.713116
2024-01-02,jeonnam,12.712118
2024-01-03,jeonnam,12.711208
2024-01-04,jeonnam,12.710333
2024-01-05,jeonnam,12.709509
2024-01-06,jeonnam,12.708748
2024-01-07,jeonnam,12.707976
2024-01-08,jeonnam,12.707185
2024-01-09,jeonnam,12.706411
2024-01-10,jeonnam,12.705683
2024-01-11,jeonnam,12.705019
2024-01-12,jeonnam,12.704426
2024-01-13,jeonnam,12.7039
2024-01-14,jeonnam,12.703447
2024-01-15,jeonnam,12.703056
2024-01-16,jeonnam,12.702725
2024-01-17,jeonnam,12.702497
2024-01-18,jeonnam,12.702423
2024-01-19,jeonnam,12.702507
2024-01-20,jeonnam,12.702667
2024-01-21,jeonnam,12.702869
2024-01-22,jeonnam,12.70315
2024-01-23,jeonnam,12.70343
2024-01-24,jeonnam,12.703669
2024-01-25,jeonnam,12.703868
2024-01-26,jeonnam,12.703983
2024-01-27,jeonnam,12.703993
2024-01-28,jeonnam,12.704034
2024-01-29,jeonnam,12.704274
2024-01-30,jeonnam,12.704673
2024-01-31,jeonnam,12.705056
2024-02-01,jeonnam,12.705294
2024-02-02,jeonnam,12.705387
2024-02-03,jeonnam,12.705424
2024-02-04,jeonnam,12.705443
2024-02-05,jeonnam,12.705463
2024-02-06,jeonnam,12.705478
2024-02-07,jeonnam,12.70547
2024-02-08,jeonnam,12.705401
2024-02-09,jeonnam,12.705239
2024-02-10,jeonnam,12.704995
2024-02-11,jeonnam,12.704756
2024-02-12,jeonnam,12.704605
2024-02-13,jeonnam,12.704559
2024-02-14,jeonnam,12.704554
2024-02-15,jeonnam,12.704496
2024-02-16,jeonnam,12.704364
2024-02-17,jeonnam,12.704216
2024-02-18,jeonnam,12.704197
2024-02-19,jeonnam,12.7046795
2024-02-20,jeonnam,12.70594
2024-02-21,jeonnam,12.707647
2024-02-22,jeonnam,12.70934
2024-02-23,jeonnam,12.711016
2024-02-24,jeonnam,12.712553
2024-02-25,jeonnam,12.7136755
2024-02-26,jeonnam,12.714324
2024-02-27,jeonnam,12.714551
2024-02-28,jeonnam,12.714448
2024-02-29,jeonnam,12.714378
2024-03-01,jeonnam,12.71442
2024-03-02,jeonnam,12.714623
2024-03-03,jeonnam,12.714924
2024-03-04,jeonnam,12.715105
2024-03-05,jeonnam,12.715155
2024-03-06,jeonnam,12.715045
2024-03-07,jeonnam,12.714752
2024-03-08,jeonnam,12.714297
2024-03-09,jeonnam,12.713716
2024-03-10,jeonnam,12.713033
2024-03-11,jeonnam,12.71222
2024-03-12,jeonnam,12.71127
