dataDate,ename,issueVal
2023-12-07,sejong,10.4306345
2023-12-08,sejong,10.433452
2023-12-09,sejong,10.434897
2023-12-10,sejong,10.434887
2023-12-11,sejong,10.434104
2023-12-12,sejong,10.433236
2023-12-13,sejong,10.431499
2023-12-14,sejong,10.429601
2023-12-15,sejong,10.427842
2023-12-16,sejong,10.42618
2023-12-17,sejong,10.425019
2023-12-18,sejong,10.424269
2023-12-19,sejong,10.426741
2023-12-20,sejong,10.426768
2023-12-21,sejong,10.429735
2023-12-22,sejong,10.434338
2023-12-23,sejong,10.436581
2023-12-24,sejong,10.437682
2023-12-25,sejong,10.437843
2023-12-26,sejong,10.436366
2023-12-27,sejong,10.43402
2023-12-28,sejong,10.431622
2023-12-29,sejong,10.429156
2023-12-30,sejong,10.427052
2023-12-31,sejong,10.424992
2024-01-01,sejong,10.423206
2024-01-02,sejong,10.42135
2024-01-03,sejong,10.419777
2024-01-04,sejong,10.417661
2024-01-05,sejong,10.416263
2024-01-06,sejong,10.414591
2024-01-07,sejong,10.412623
2024-01-08,sejong,10.410838
2024-01-09,sejong,10.409258
2024-01-10,sejong,10.407865
2024-01-11,sejong,10.406639
2024-01-12,sejong,10.405559
2024-01-13,sejong,10.404607
2024-01-14,sejong,10.4038
2024-01-15,sejong,10.403109
2024-01-16,sejong,10.402524
2024-01-17,sejong,10.402538
2024-01-18,sejong,10.40294
2024-01-19,sejong,10.403605
2024-01-20,sejong,10.403796
2024-01-21,sejong,10.40443
2024-01-22,sejong,10.405275
2024-01-23,sejong,10.405527
2024-01-24,sejong,10.405933
2024-01-25,sejong,10.406178
2024-01-26,sejong,10.406034
2024-01-27,sejong,10.405716
2024-01-28,sejong,10.406608
2024-01-29,sejong,10.408154
2024-01-30,sejong,10.409296
2024-01-31,sejong,10.409521
2024-02-01,sejong,10.409273
2024-02-02,sejong,10.409097
2024-02-03,sejong,10.409303
2024-02-04,sejong,10.409376
2024-02-05,sejong,10.409551
2024-02-06,sejong,10.409533
2024-02-07,sejong,10.409462
2024-02-08,sejong,10.408948
2024-02-09,sejong,10.408277
2024-02-10,sejong,10.407536
2024-02-11,sejong,10.40743
2024-02-12,sejong,10.407549
2024-02-13,sejong,10.407874
2024-02-14,sejong,10.407651
2024-02-15,sejong,10.407164
2024-02-16,sejong,10.406543
2024-02-17,sejong,10.406446
2024-02-18,sejong,10.407252
2024-02-19,sejong,10.411403
2024-02-20,sejong,10.417009
2024-02-21,sejong,10.420556
2024-02-22,sejong,10.422948
2024-02-23,sejong,10.42677
2024-02-24,sejong,10.428513
2024-02-25,sejong,10.4290085
2024-02-26,sejong,10.428835
2024-02-27,sejong,10.428259
2024-02-28,sejong,10.427391
2024-02-29,sejong,10.42907
2024-03-01,sejong,10.429131
2024-03-02,sejong,10.431043
2024-03-03,sejong,10.431192
2024-03-04,sejong,10.4308815
2024-03-05,sejong,10.430538
2024-03-06,sejong,10.429582
2024-03-07,sejong,10.428382
2024-03-08,sejong,10.426921
2024-03-09,sejong,10.42545
2024-03-10,sejong,10.423688
2024-03-11,sejong,10.421428
2024-03-12,sejong,10.418995
