dataDate,ename,issueVal
2023-12-07,seoul,18.34449
2023-12-08,seoul,18.344513
2023-12-09,seoul,18.342943
2023-12-10,seoul,18.340038
2023-12-11,seoul,18.33678
2023-12-12,seoul,18.334
2023-12-13,seoul,18.330994
2023-12-14,seoul,18.328485
2023-12-15,seoul,18.32672
2023-12-16,seoul,18.32553
2023-12-17,seoul,18.32518
2023-12-18,seoul,18.325418
2023-12-19,seoul,18.328737
2023-12-20,seoul,18.329296
2023-12-21,seoul,18.332369
2023-12-22,seoul,18.336407
2023-12-23,seoul,18.3374
2023-12-24,seoul,18.336838
2023-12-25,seoul,18.33524
2023-12-26,seoul,18.332235
2023-12-27,seoul,18.328884
2023-12-28,seoul,18.326138
2023-12-29,seoul,18.323988
2023-12-30,seoul,18.322763
2023-12-31,seoul,18.32201
2024-01-01,seoul,18.32182
2024-01-02,seoul,18.321735
2024-01-03,seoul,18.322025
2024-01-04,seoul,18.321833
2024-01-05,seoul,18.322386
2024-01-06,seoul,18.32265
2024-01-07,seoul,18.32263
2024-01-08,seoul,18.322811
2024-01-09,seoul,18.323208
2024-01-10,seoul,18.323769
2024-01-11,seoul,18.32444
2024-01-12,seoul,18.325172
2024-01-13,seoul,18.325932
2024-01-14,seoul,18.326712
2024-01-15,seoul,18.327477
2024-01-16,seoul,18.328213
2024-01-17,seoul,18.329386
2024-01-18,seoul,18.330723
2024-01-19,seoul,18.332064
2024-01-20,seoul,18.332685
2024-01-21,seoul,18.333538
2024-01-22,seoul,18.3344
2024-01-23,seoul,18.334509
2024-01-24,seoul,18.334675
2024-01-25,seoul,18.334631
2024-01-26,seoul,18.334202
2024-01-27,seoul,18.33367
2024-01-28,seoul,18.334373
2024-01-29,seoul,18.335619
2024-01-30,seoul,18.336287
2024-01-31,seoul,18.335907
2024-02-01,seoul,18.335052
2024-02-02,seoul,18.334364
2024-02-03,seoul,18.334162
2024-02-04,seoul,18.333912
2024-02-05,seoul,18.33382
2024-02-06,seoul,18.333576
2024-02-07,seoul,18.333326
2024-02-08,seoul,18.332712
2024-02-09,seoul,18.332058
2024-02-10,seoul,18.33147
2024-02-11,seoul,18.331617
2024-02-12,seoul,18.332012
2024-02-13,seoul,18.332563
2024-02-14,seoul,18.33251
2024-02-15,seoul,18.332184
2024-02-16,seoul,18.33177
2024-02-17,seoul,18.331926
2024-02-18,seoul,18.332935
2024-02-19,seoul,18.33695
2024-02-20,seoul,18.341686
2024-02-21,seoul,18.343533
2024-02-22,seoul,18.34363
2024-02-23,seoul,18.344738
2024-02-24,seoul,18.343534
2024-02-25,seoul,18.341152
2024-02-26,seoul,18.338436
2024-02-27,seoul,18.335804
2024-02-28,seoul,18.33343
2024-02-29,seoul,18.33398
2024-03-01,seoul,18.333117
2024-03-02,seoul,18.33415
2024-03-03,seoul,18.333414
2024-03-04,seoul,18.332285
2024-03-05,seoul,18.331282
2024-03-06,seoul,18.329882
2024-03-07,seoul,18.328508
2024-03-08,seoul,18.327188
2024-03-09,seoul,18.326164
2024-03-10,seoul,18.32514
2024-03-11,seoul,18.323917
2024-03-12,seoul,18.322836
