dataDate,ename,issueVal
2023-12-07,ulsan,9.005253
2023-12-08,ulsan,9.007974
2023-12-09,ulsan,9.007977
2023-12-10,ulsan,9.005515
2023-12-11,ulsan,9.002193
2023-12-12,ulsan,8.999442
2023-12-13,ulsan,8.995859
2023-12-14,ulsan,8.992738
2023-12-15,ulsan,8.990505
2023-12-16,ulsan,8.988904
2023-12-17,ulsan,8.988475
2023-12-18,ulsan,8.98884
2023-12-19,ulsan,8.994807
2023-12-20,ulsan,8.995714
2023-12-21,ulsan,9.001412
2023-12-22,ulsan,9.009249
2023-12-23,ulsan,9.011877
2023-12-24,ulsan,9.011933
2023-12-25,ulsan,9.010214
2023-12-26,ulsan,9.005847
2023-12-27,ulsan,9.000602
2023-12-28,ulsan,8.996119
2023-12-29,ulsan,8.992336
2023-12-30,ulsan,8.989872
2023-12-31,ulsan,8.987929
2024-01-01,ulsan,8.986724
2024-01-02,ulsan,8.985459
2024-01-03,ulsan,8.98468
2024-01-04,ulsan,8.982821
2024-01-05,ulsan,8.982183
2024-01-06,ulsan,8.980905
2024-01-07,ulsan,8.978986
2024-01-08,ulsan,8.977346
2024-01-09,ulsan,8.976034
2024-01-10,ulsan,8.974986
2024-01-11,ulsan,8.974144
2024-01-12,ulsan,8.973444
2024-01-13,ulsan,8.972841
2024-01-14,ulsan,8.97236
2024-01-15,ulsan,8.971944
2024-01-16,ulsan,8.971581
2024-01-17,ulsan,8.972163
2024-01-18,ulsan,8.973233
2024-01-19,ulsan,8.9745245
2024-01-20,ulsan,8.9747095
2024-01-21,ulsan,8.975529
2024-01-22,ulsan,8.976579
2024-01-23,ulsan,8.976424
2024-01-24,ulsan,8.976529
2024-01-25,ulsan,8.976363
2024-01-26,ulsan,8.975563
2024-01-27,ulsan,8.974596
2024-01-28,ulsan,8.975952
2024-01-29,ulsan,8.978433
2024-01-30,ulsan,8.979991
2024-01-31,ulsan,8.979739
2024-02-01,ulsan,8.978651
2024-02-02,ulsan,8.977839
2024-02-03,ulsan,8.977889
2024-02-04,ulsan,8.977809
2024-02-05,ulsan,8.977994
2024-02-06,ulsan,8.977878
2024-02-07,ulsan,8.9777155
2024-02-08,ulsan,8.976815
2024-02-09,ulsan,8.975743
2024-02-10,ulsan,8.974689
2024-02-11,ulsan,8.974899
2024-02-12,ulsan,8.975516
2024-02-13,ulsan,8.976424
2024-02-14,ulsan,8.976214
2024-02-15,ulsan,8.975485
2024-02-16,ulsan,8.9745455
2024-02-17,ulsan,8.974612
2024-02-18,ulsan,8.976278
2024-02-19,ulsan,8.983707
2024-02-20,ulsan,8.992958
2024-02-21,ulsan,8.997459
2024-02-22,ulsan,8.999205
2024-02-23,ulsan,9.003215
2024-02-24,ulsan,9.0032625
2024-02-25,ulsan,9.001266
2024-02-26,ulsan,8.9985895
2024-02-27,ulsan,8.995888
2024-02-28,ulsan,8.993397
2024-02-29,ulsan,8.996104
2024-03-01,ulsan,8.996054
2024-03-02,ulsan,8.999441
2024-03-03,ulsan,8.999494
2024-03-04,ulsan,8.998708
2024-03-05,ulsan,8.997975
2024-03-06,ulsan,8.996301
2024-03-07,ulsan,8.9944315
2024-03-08,ulsan,8.99237
2024-03-09,ulsan,8.990575
2024-03-10,ulsan,8.988495
2024-03-11,ulsan,8.985749
2024-03-12,ulsan,8.982944
