clearVal,sn,districtName,dataDate,issueVal,issueTime,clearDate,issueDate,moveName,clearTime,issueGbn,itemCode,ename
31,71,강원,2020-02-02,77,10:00,2020-02-03,2020-02-02,영서남부,4:00,주의보,PM25,gangwon
84,172,강원,2020-04-22,175,9:00,2020-04-22,2020-04-22,영동북부,17:00,주의보,PM10,gangwon
89,170,강원,2020-04-22,217,8:00,2020-04-22,2020-04-22,영서북부,16:00,주의보,PM10,gangwon
98,180,강원,2020-05-11,164,13:00,2020-05-11,2020-05-11,영서북부,20:00,주의보,PM10,gangwon
99,22,강원,2021-01-15,178,0:00,2021-01-16,2021-01-16,영동남부,3:00,주의보,PM10,gangwon
30,50,강원,2021-02-01,82,21:00,2021-02-02,2021-02-01,영서남부,1:00,주의보,PM25,gangwon
33,83,강원,2021-02-06,78,23:00,2021-02-07,2021-02-06,영동북부,7:00,주의보,PM25,gangwon
26,74,강원,2021-02-06,84,21:00,2021-02-07,2021-02-06,영서북부,15:00,주의보,PM25,gangwon
33,90,강원,2021-02-07,79,12:00,2021-02-07,2021-02-07,영서남부,16:00,주의보,PM25,gangwon
81,137,강원,2021-03-16,224,7:00,2021-03-16,2021-03-16,영동북부,9:00,주의보,PM10,gangwon
96,170,강원,2021-03-23,248,12:00,2021-03-23,2021-03-23,영동북부,19:00,주의보,PM10,gangwon
98,177,강원,2021-03-23,153,15:00,2021-03-23,2021-03-23,영서남부,20:00,주의보,PM10,gangwon
98,176,강원,2021-03-23,160,15:00,2021-03-23,2021-03-23,영서북부,21:00,주의보,PM10,gangwon
96,171,강원,2021-03-23,304,13:00,2021-03-23,2021-03-23,영동남부,18:00,주의보,PM10,gangwon
97,615,강원,2021-03-29,127,13:00,2021-03-30,2021-03-29,영동남부,5:00,주의보,PM10,gangwon
98,607,강원,2021-03-29,141,12:00,2021-03-29,2021-03-29,영동북부,14:00,주의보,PM10,gangwon
593,267,강원,2021-03-29,244,5:00,2021-03-29,2021-03-29,영동남부,7:00,주의보,PM10,gangwon
549,265,강원,2021-03-29,391,5:00,2021-03-29,2021-03-29,영서남부,6:00,주의보,PM10,gangwon
422,264,강원,2021-03-29,368,6:00,2021-03-29,2021-03-29,영서북부,7:00,주의보,PM10,gangwon
480,266,강원,2021-03-29,454,5:00,2021-03-29,2021-03-29,영동북부,6:00,주의보,PM10,gangwon
127,324,강원,2021-03-29,593,7:00,2021-03-29,2021-03-29,영동남부,13:00,경보,PM10,gangwon
148,273,강원,2021-03-29,549,6:00,2021-03-29,2021-03-29,영서남부,22:00,경보,PM10,gangwon
135,319,강원,2021-03-29,422,7:00,2021-03-29,2021-03-29,영서북부,13:00,경보,PM10,gangwon
96,1494,강원,2021-03-29,148,22:00,2021-03-30,2021-03-29,영서남부,12:00,주의보,PM10,gangwon
141,274,강원,2021-03-29,480,6:00,2021-03-29,2021-03-29,영동북부,12:00,경보,PM10,gangwon
27,370,강원,2021-03-29,92,8:00,2021-03-29,2021-03-29,영동남부,12:00,주의보,PM25,gangwon
99,614,강원,2021-03-29,135,13:00,2021-03-30,2021-03-29,영서북부,8:00,주의보,PM10,gangwon
30,325,강원,2021-03-29,100,7:00,2021-03-29,2021-03-29,영서남부,14:00,주의보,PM25,gangwon
96,1495,강원,2021-03-29,150,0:00,2021-03-30,2021-03-30,영동북부,3:00,주의보,PM10,gangwon
